Data,Intervalo,Vazao
 12-12-2022,00:00:00 a 06:00:00,-1
 12-12-2022,06:00:00 a 12:00:00,-1
 12-12-2022,12:00:00 a 18:00:00,3699533044.0
 12-12-2022,18:00:00 a 23:59:59,5590661195.0
 13-12-2022,00:00:00 a 06:00:00,5650837534.0
 13-12-2022,06:00:00 a 12:00:00,4577725198.0
 13-12-2022,12:00:00 a 18:00:00,3900841905.0
 13-12-2022,18:00:00 a 23:59:59,-1
 14-12-2022,00:00:00 a 06:00:00,5327726847.0
 14-12-2022,06:00:00 a 12:00:00,4403469447.5
 14-12-2022,12:00:00 a 18:00:00,-1
 14-12-2022,18:00:00 a 23:59:59,5439174883.5
 15-12-2022,00:00:00 a 06:00:00,6001418678.0
 15-12-2022,06:00:00 a 12:00:00,-1
 15-12-2022,12:00:00 a 18:00:00,2897670599.5
 15-12-2022,18:00:00 a 23:59:59,4612683517.0
 16-12-2022,00:00:00 a 06:00:00,3871550371.0
 16-12-2022,06:00:00 a 12:00:00,5479161705.0
 16-12-2022,12:00:00 a 18:00:00,4884538969.0
 16-12-2022,18:00:00 a 23:59:59,4083394619.0
 17-12-2022,00:00:00 a 06:00:00,4401999127.0
 17-12-2022,06:00:00 a 12:00:00,4948880403.666667
 17-12-2022,12:00:00 a 18:00:00,5006491808.0
 17-12-2022,18:00:00 a 23:59:59,4824308964.0
 18-12-2022,00:00:00 a 06:00:00,6394914968.0
 18-12-2022,06:00:00 a 12:00:00,4550918754.0
 18-12-2022,12:00:00 a 18:00:00,6152674197.0
 18-12-2022,18:00:00 a 23:59:59,5244494803.0
 19-12-2022,00:00:00 a 06:00:00,3946049685.0
 19-12-2022,06:00:00 a 12:00:00,3575913634.0
 19-12-2022,12:00:00 a 18:00:00,4635748005.0
 19-12-2022,18:00:00 a 23:59:59,4310964546.0
 20-12-2022,00:00:00 a 06:00:00,4102357012.0
 20-12-2022,06:00:00 a 12:00:00,-1
 20-12-2022,12:00:00 a 18:00:00,4706692780.0
 20-12-2022,18:00:00 a 23:59:59,5029544949.0
 21-12-2022,00:00:00 a 06:00:00,6347107710.0
 21-12-2022,06:00:00 a 12:00:00,5302344333.0
 21-12-2022,12:00:00 a 18:00:00,-1
 21-12-2022,18:00:00 a 23:59:59,3616856816.0
 22-12-2022,00:00:00 a 06:00:00,-1
 22-12-2022,06:00:00 a 12:00:00,-1
 22-12-2022,12:00:00 a 18:00:00,-1
 22-12-2022,18:00:00 a 23:59:59,5118554229.0
 23-12-2022,00:00:00 a 06:00:00,-1
 23-12-2022,06:00:00 a 12:00:00,-1
 23-12-2022,12:00:00 a 18:00:00,-1
 23-12-2022,18:00:00 a 23:59:59,5116449348.0
 24-12-2022,00:00:00 a 06:00:00,5073842667.0
 24-12-2022,06:00:00 a 12:00:00,-1
 24-12-2022,12:00:00 a 18:00:00,4725842769.0
 24-12-2022,18:00:00 a 23:59:59,5208610576.0
 25-12-2022,00:00:00 a 06:00:00,4405647798.0
 25-12-2022,06:00:00 a 12:00:00,4778717883.5
 25-12-2022,12:00:00 a 18:00:00,4926363417.5
 25-12-2022,18:00:00 a 23:59:59,5324926825.0
 26-12-2022,00:00:00 a 06:00:00,3246494343.0
 26-12-2022,06:00:00 a 12:00:00,5456769926.0
 26-12-2022,12:00:00 a 18:00:00,4686994306.0
 26-12-2022,18:00:00 a 23:59:59,3818442123.0
